objectid	image_url	title	description	category
11research	../images/11research.jpg	Phoenix Gazette article about Hayden Library, 11/29/66	Academic Freedom - Research Charles Trumbull Hayden Library opened in 1966 as the first building dedicated to library holdings and research service. The collections supported all the university academic programs. When the 205,000 square feet of space for the collections and the student study spaces reached its limit, reading rooms opened in other colleges, which eventually became five additional library branches on the main campus. Charles Trumbull Hayden Library 11/29/66 Phoenix Gazette UE ASU Info File 1129 Today, Hayden Library houses materials in the humanities, social sciences and special collections. An addition was opened in 1989, adding 1500 seats and shelving for an additional 375,000 volumes.	Academic Freedom - Research
11stor	../images/11stor.jpg	Jazz Band, 1923	The Jazz Band 131.15 v.11 1923 Sahuaro Yearbook	Campus Lives - Student Organizations
12Acasc	../images/12Acasc.jpg	Lantern Walk Rules (page 1), 1929	Lantern Walk Rules, page 1 1929 Page 2 of Rules	Campus Lives - Campus Scenes
12Bcasc	../images/12Bcasc.jpg	Lantern Walk Rules (page 2), 1929	Lantern Walk Rules, page 2 1929 Page 1 of Rules	Campus Lives - Campus Scenes
12acpro	../images/12acpro.jpg	Normal Report Biennial Report to 23rd Legislature, 1902-03 and 1903-04	Normal Report Biennial Report to 23rd Legislature 1902-03 and 1903-04 2.2 An 78	Academic Freedom - Academic Programs
12athlet	../images/12athlet.jpg	Normal Women's Basketball Team with Coach Frederick Irish, 1907	Normal Women's Basketball Team with Coach Frederick Irish 1907 Photographer: Hartwell UP UPC ASUA B388 1900s #9 The basketball team was firmly established in 1904 with the assistance of the Young Men's Amusement Club, who funded the team's new uniforms. Mr. Irish coached the team and they advanced quickly to a challenge off campus with the Phoenix High School team. The team played locally until the late 1930's. When women's intercollegiate basketball resurfaced in the 1970's, it competed at a national level. In addition to women's basketball coach, Frederick M. Irish was the science teacher, the first football coach, organized the Cadet Company and was the first Registrar. He served ASU from 1896 to 1940. Irish Hall is named for him. For more information on Women's Basketball, please visit: http://thesundevils.fansonly.com/sports/w-baskbl/asu-w-baskbl-body.html	Campus Lives - Athletes
12ccp	../images/12ccp.jpg	Peace Corps, 1962	Peace Corps 1962 UP UPC ASUD P42 # 20 Two Peace Corps groups were trained at ASU in 1962. As part of their training, the students worked at the Gila River Community. Today, ASU continues to train Peace Corps members, offering a Peace Corp Master's International Program. Peace Corps 1962 UP UPC ASUD P42 # 20 For more information about the program, please visit http://www.east.asu.edu/msabr/peacecorp/ .	Community, Collaboration and Partnership
12land	../images/12land.jpg	Plat of the campus, 1920s	Plat of the campus 1920s UP UPC ASUB C355	Landmarks
12lead	../images/12lead.jpg	Swetman article, Arizona Republic, August 26, 1932	Ralph Waldo Swetman Arizona Republic August 26, 1932 UE ASU INFO Swetman, Ralph Waldo	ASU Library:
12research	../images/12research.jpg	Key Punch Book Checkout, Hayden Library, 1960s	Academic Freedom - Research For more information about Hayden Library, please visit:http://www.asu.edu/lib/hayden/ Key Punch Book Checkout, Hayden Library Kay Ridenour, Alphonso Soliz, Mrs. Matalene Robertson 1960s ASUB H394 #120	ASU Library:
12stor	../images/12stor.jpg	Hiking Club, 1920s	Hiking Club A breakfast hike to A Mountain with Mr. Fredrick M. Irish, overlooking Mill Avenue and Tempe. 1920s UP UPC ASUD C34 #8	Campus Lives - Student Organizations
13accp	../images/13accp.jpg	Rio Salado Project, ca. 1966	Rio Salado brochure, front Back of brochure ca. 1966 CE EPH Q-258 In the fall of 1966, ASU architecture students under the direction of Professor James Elmore designed a plan that combined flood control with environmental design to convert the Salt River into a valuable asset to the Phoenix metropolitan area. The Rio Salado Project, as it was named, extended over thirty-eight miles from Granite Reef Dam to the Gila River. "Tempe Rio Salado" is a plan for converting several miles of dry river bed into an urban park, extending from 48th Street to Price Road, along the Salt River.	Community, Collaboration and Partnership
13athlet	../images/13athlet.jpg	ASU Women's Basketball Team, 1970s	ASU Women's Basketball Team 1970s UP UPC ASUA B388 1970s #1	Campus Lives - Athletes
13bccp	../images/13bccp.jpg	Rio Salado brochure, back	Rio Salado brochure, back Front of brochure	Community, Collaboration and Partnership
13casc	../images/13casc.jpg	Students from South Hall Women's Dormitory, 1933-34	Students from South Hall Women's Dormitory 1933-34 South Hall Women's Dormitory Scrapbook ACC# 93-1086	Campus Lives - Campus Scenes
13land	../images/13land.jpg	Aerial of the campus, 1928	Aerial of the campus toward the northeast 1928 CP MCL 99174 The San Pablo community, also known as Old Town, was located at the foot of Tempe Butte. The structure located just south of the college was the new, enclosed men's gymnasium. Tempe farmland dominated the area.	Landmarks
13lead	../images/13lead.jpg	President Gammage, 1933-1959	Ninth President Grady Gammage 1933-1959 President Grady Gammage with some of his Golden Jublilee Planning Committee members ca. 1934-1935 L-R: James Creasman, student president; Dr. A.J. Matthews, president emeritus; President Grady Gammage; Georgia Holmesley - member of the first class of 1901; Charles A. Stauffer - member of the class of 1901, publisher of the Arizona Republic and past president of the Alumni Association; Alton Riggs - president of Alumni Association; John R. Murdock - Dean of the College. UP UPC ASUP Gammage, Grady Leadership Previous Image Catego ry Index Next Image In 1933, Grady Gammage, then president of Arizona State Teachers College at Flagstaff, became president of Arizona State Teachers College at Tempe, a tenure that lasted nearly 28 years. The Graduate division was created and the first master's program was established 1937. On March 8, 1945, the three state institutions of higher learning came under the authority of one Arizona Board of Regents, which still oversees the universities today. Substantial growth of the college began after the end of World War II. President Gammage anticipated that the G.I. Bill of Rights would flood campuses everywhere with Ninth President Grady Gammage 1933-1959 President Grady Gammage with some of his Golden Jublilee Planning Committee members ca. 1934-1935 L-R: James Creasman, student president; Dr. A.J. Matthews, president emeritus; President Grady Gammage; Georgia Holmesley - member of the first class of 1901; Charles A. Stauffer - member of the class of 1901, publisher of the Arizona Republic and past president of the Alumni Association; Alton Riggs - president of Alumni Association; John R. Murdock - Dean of the College. UP UPC ASUP Gammage, Grady returning veterans. Many of the veterans who had received military training in Arizona decided to stay in the state and vowed to return after the war. The numbers within one year were staggering: in the fall semester of 1945, 553 students were enrolled; over the weekend semester break in January 1946 enrollment increased 110% to 1,163 students. Successive semesters saw continuing increased enrollment. In addition to the enrollment increases, President Gammage oversaw the construction of a number of buildings on the campus and attracted substantial federal funding for construction. His greatest dream of a great auditorium was envisioned with his friend Frank Lloyd Wright, who designed what is now the university's hallmark building, Grady Gammage Memorial Auditorium. Construction of Gammage Auditorium was completed in 1964, five years after Gammage's death. President Gammage's greatest achievement was his commitment and work in guiding Arizona State Teachers College at Tempe through the academic changes and physical growth that justified attainment of university status in 1958.	ASU Library:
13research	../images/13research.jpg	Center for Latin American Studies, N.D.	Center for Latin American Studies Louis A. Tambs, Associate Professor of History, Chairman of Latin American Studies with Research Associate Dr. Russell Fitzgibbon. N.D. Photographer: Charles R. Conley Charles Conley Photographs, University Archives ASUB Tambs, Louis A. Academic Freedom - Research The Center for Latin American Studies was established in 1965. The program provides students with understanding of cultures, languages, and public affairs in Latin American nations. For more information about the Center for Latin American Studies, please visit:http://www.asu.edu/clas/latin/ Center for Latin American Studies Louis A. Tambs, Associate Professor of History, Chairman of Latin American Studies with Research Associate Dr. Russell Fitzgibbon. N.D. Photographer: Charles R. Conley Charles Conley Photographs, University Archives ASUB Tambs, Louis A.	ASU Library:
13stor	../images/13stor.jpg	Lamda Phi Sigma, 1925	Lamda Phi Sigma 131.15 v.13 1925 Sahuaro Yearbook Established for men only in 1925, the first fraternity was organized for students to meet and discuss the problems of interest to them and society at large.	Campus Lives - Student Organizations
14athlet	../images/14athlet.jpg	Basketball Recent History, ASU Women's Basketball Media Guide, 1997-98	Basketball Recent History ASU Women's Basketball Media Guide, 1997-98 pg. 52 34.11.2I W842 Archives	Campus Lives - Athletes
14casc	../images/14casc.jpg	Homecoming Parade, 1930s	Homecoming Parade 1930s Henry E. Heiger Photograph Album CP SPC 117.85	Campus Lives - Campus Scenes
14ccp	../images/14ccp.jpg	Rio Salado Unveiled, Insight, 1988	Rio Salado Unveiled Insight, July-Oct 24, 1988 0.5 AR 47 For more information on the Rio Salado Project, please visit: http://www.ci.phoenix.az.us/NBHDPGMS/rioproj.html	Community, Collaboration and Partnership
14land	../images/14land.jpg	Old Main and Blome Training School, 1920s	Old Main and Blome Training School ca. 1920s UP UPC ASUB C357 1920s #9 Much of the construction of buildings was located near Tyler. This photograph shows Old Main, Blome Training School and the campus steadily increasing in size, surrounded by an abundance of landscape.	Landmarks
14lead	../images/14lead.jpg	President Gammage, 1958	Dr. Grady Gammage atop the Memorial Union announcing the 1958 election returns which changed the name of Arizona State College to Arizona State University. UP UPC ASUG N 35 1958 #99	Leadership
14research	../images/14research.jpg	Journal of American Indian Education first issue, June 1961	Journal of American Indian Education First Issue June, 1961 Vol. 1 No. 1 UE 73.8 V-1-3 Academic Freedom - Research The Center for Indian Education was founded in 1959 as a research and service organization established to promote and provide Native American students with scholarship and sound educational practices. For more information about the Center for Indian Education, please visit:http://coe.asu.edu/cie/ Journal of American Indian Education online: http://jaie.asu.edu/v30/V30S1ame.htm Other Native American programs at ASU: American Indian Institute American Indian Programs at ASU East Journal of American Indian Education First Issue June, 1961 Vol. 1 No. 1 UE 73.8 V-1-3	Academic Freedom - Research
14stor	../images/14stor.jpg	Letterman Club, 1925	Letterman Club 131.15 v.13 1925 Sahuaro Yearbook The Letterman Club was organized in 1923 by men of the Normal School who had won a major letter in a major sport.	Campus Lives - Student Organizations
15Astor	../images/15Astor.jpg	Sphinx Club, 1928	Sphinx Club 131.15 v.16 1928 Sahuaro yearbook Next page of yearbook The Sphinx club was organized in October, 1927, to enable the thirty married women of the college to become better acquainted with each other.	Campus Lives - Student Organizations
15Bstor	../images/15Bstor.jpg	Sphinx Club, page 2	Previous page of yearbook	Campus Lives - Student Organizations
15accp	../images/15accp.jpg	First Fiesta Bowl starring ASU, 1971	First Fiesta Bowl starring ASU 1971 UP UPC ASUA F663 1971 #4 The Fiesta Bowl was organized by the Arizona Sportsman Foundation as a venue for a game between the champion of the Western Athletic Association (WAA), composed of eight Rocky Mountain universities, and an outside opponent. The bowl game would also boost tourism for Phoenix and the Valley. The first game was December 27, 1971, and pitted Arizona State vs. Florida State. First Fiesta Bowl starring ASU 1971 UP UPC ASUA F663 1971 #4 For more information on the Fiesta Bowl, please visit: http://www.fiesta-bowl.com	Community, Collaboration and Partnership
15acpro	../images/15acpro.jpg	Biology class, 1903	Biology class Department of Science 1903 UP UPC ASUD B54 #1 Academic Freedom - Academic Programs Department of Science "The aim of the work in this department is not so much the collection of a large store of facts as the thorough training of the student in systematic methods of scientific study and the inculcation of habits of close and accurate observation, orderly thought and logical expression." (1903-04 Catalog 0.3 1901-1906 v. 16-21) Biology class Department of Science 1903 UP UPC ASUD B54 #1	Academic Freedom - Academic Programs
15athlet	../images/15athlet.jpg	Normal School Tennis Club, 1907	Normal School Tennis Club 1907 UP UPC ASUA T462 #2 A tennis club was organized in 1902 for physical exercise and "to preserve mental and physical balance" for both men and women. There were four courts that students used at leisure. Tennis was popular in a climate which allowed year-round activity. Normal School Tennis Club 1907 UP UPC ASUA T462 #2	Campus Lives - Athletes
15casc	../images/15casc.jpg	Students swimming in the Salt River, 1930s	Students swimming in the Salt River 1930s UP UPC ASUG S882 1930s #13	Campus Lives - Campus Scenes
15ccp	../images/15ccp.jpg	Cosanti Foundation, ASU students, 1960s	Cosanti Foundation ASU students 1960s Photographer: John Dutson UP UPC ASUD A73 .P36 #17 Students earned credit through ASU while building a structure in a casting technique at Cosanti Foundation. Paolo Soleri, an internationally known architect, developed the technique and led the workshop. He believed architects should experience the act of building. For more information about Arcosanti, please visit:http://www.arcosanti.org/arcosanti/	Community, Collaboration and Partnership
15land	../images/15land.jpg	Old Quad, 1925	Old Quad Students, faculty and staff in front of (l. to r.) the Auditorium/Gymnasium, Old Main, and the Science Building. 1925 UP UPC ASUB C357 1920s #42 "There is a central group comprising the main building, science hall, and auditorium which enclose a quadrangle of greensward, in the center of which is a fountain containing various water plants." (Tempe Normal School 1913-14 catalog) Old Main was opened in 1894; in 1908 the Science Hall (now the University Club) was dedicated; and the Auditorium/Gymnasium building was opened in 1909 (razed in 1956) to the west of Old Main, completing the historic "Quadrangle". Old Main was completed and dedicated on February 4, 1898. The new center of education for the Normal School was equipped with laboratories, a Geography Room, an Assembly Room, a Music Room, a Drawing Room, an Auditorium, a Library, and museum and armory spaces. As each of these buildings was completed, the auditorium and laboratory spaces in Old Main were converted to classrooms and academic office spaces. By 1933 the east half of the main floor of Old Main was converted to a "recreation hall," and Matthews Library was completed. Military Science, ROTC and Aerospace Studies academic offices were located at Old Main as early as 1963, and Telephone Services was established on the first floor ca. 1976. When the Science and Office/Administration building opened in 1908 to accommodate science education, it was amply supplied with up-to-date equipment. Also on the first floor of the 92' x 70' building were the offices of the President and the Board of Education in addition to science rooms, the art department and a museum. The building later was used as the Fine Arts Annex and now is the University Club. The Auditorium/Gymnasium , a two-story brick building 72' by 100', was built in 1909 and completed the "Quad". The first floor contained a large gymnasium with hardwood floors and a running track with a gallery for spectators. A second-floor auditorium seated 1000. The latest in equipment was assembled backstage to ease the production of a variety of theatrical performances. The Language and Literature Building was built on this site in 1956. Architect: Thornton Fitzhugh.	ASU Library:
15lead	../images/15lead.jpg	President Richardson, 1959-60	Tenth President Harold D. Richardson (Acting) 1959-60 At left of photo, presenting ASU Story to former Arizona Congressman John R. Murdock. UP UPC ASUP Richardson, Harold D. On December 24, 1959, the day following President Grady Gammage's death, Harold D. Richardson was named Acting President of the university. He served in that capacity for nine months, after which he resumed his duties as Academic Vice President and Professor of Education. Despite his short tenure, Richardson continued to guide the university along a smooth course of successes and accomplishments, earning the admiration and respect of his colleagues and students.	Leadership
15research	../images/15research.jpg	Center for Meteorite Studies, 1966	Center for Meteorite Studies (1965) 1966 Photographer: D. Neil Koppes ASUP Moore, Carlton Academic Freedom - Research The Center for Meteorite Studies was originally entitled the Nininger Meteorite Laboratory and was established when ASU bought the Nininger Collection in 1959, which included 1,220 samples from 684 meteorite falls, mostly in Arizona. The Center became an important player in space research through the study of extra-terrestrial materials. Center for Meteorite Studies (1965) 1966 Photographer: D. Neil Koppes ASUP Moore, Carlton For more information about the Center for Meteorite Studies, please visit:http://meteorites.asu.edu/ and http://www-glg.la.asu.edu/research/meteorites/meteorites.html	Academic Freedom - Research
16acpro	../images/16acpro.jpg	Math Class, 1900s	Math Class 1900s UP UPC ASUP Blome Academic Freedom - Academic Programs Math included Arithmetic, Algebra, Geometry and Astronomy. Arithmetic and Algebra were part of the curriculum in 1886. Math Class 1900s UP UPC ASUP Blome	Academic Freedom - Academic Programs
16athlet	../images/16athlet.jpg	Tennis, The Normal Magazine, 1904	" Tennis The Normal Magazine, pg. 38 1904 131.15	1904 V.0 Archives"	Campus Lives - Athletes
16casc	../images/16casc.jpg	Students celebrating graduation at the Varsity Inn, 1930s	Students celebrating graduation at the Varsity Inn 1930s UP UPC ASUB V37 #14 Varsity Inn was a student hangout on College Avenue and University Drive for nearly 40 years, from the late 1920s to 1964.	Campus Lives - Campus Scenes
16ccp	../images/16ccp.jpg	Engineering for Excellence, 1983	Engineering for Excellence 1983 Photographer: Charles Conley Charles Conley Photographs, University Archives UP UPC ASUD E43 #36 Engineering for Excellence was coined by leaders of industry, government and education in Arizona who recognized the need to improve competitive advantage in the area of technology. Together, they identified the steps toward progress and devised a 5-year plan of implementation. In 1983, completion of the five story Engineering Research Center was the gauge of success. Engineering for Excellence 1983 Photographer: Charles Conley Charles Conley Photographs, University Archives UP UPC ASUD E43 #36 For more information on Engineering for Excellence, please visit:http://www.eas.asu.edu/	Community, Collaboration and Partnership
16land	../images/16land.jpg	N Mountain, 1923	N Mountain toward the north on College Avenue 1923 Photographer: K Photo Service, Inc. UP UPC ASUB C357 1920s #2 The Tempe Normal School class of 1918 was responsible for installing the first letter that measured 36' by 36' on the Butte. It was built from boulders, then whitewashed.	Landmarks
16lead	../images/16lead.jpg	President Durham, 1960-69	Eleventh President G. Homer Durham 1960-1969 From right to left: G. Homer Durham, Martin Luther King, Jr., Ralph Abernathy, an unidentified participant, Rev. Louis Eaton and Msgr. Robert Donahoe at Goodwin Stadium, Arizona State University. Martin Luther King addressed an audience of eight thousand people on the topic "Religious Witness for Human Dignity." June 3, 1964 Monsignor Robert Donahoe Collection MRD #2	Leadership
16research	../images/16research.jpg	Center for Asian Studies, 1960s	Academic Freedom - Research Center for Asian Studies 1960s Occasional Paper No. 1 62.6 V-1-5 The Center for Asian Studies was established in 1966 to encourage and organize student, faculty and community study of Asian cultures. For more information about the Center for Asian Studies, please visit: http://www.asu.edu/clas/asian/cas.html	Academic Freedom - Research
16stor	../images/16stor.jpg	Women's Athletic Association, 1930s	Women's Athletic Association (WAA) he WAA was organized in 1931 to sponsor athletic and social events. It was open to any woman who played on intramural or varsity teams. The sports included volleyball, hockey, basketball, track, tennis, golf, archery, baseball, badminton, swimming, dancing, hiking,and camping. Women's Athletic Association (WAA) 1930s Scrapbook 1962/63 Acc. #93-1031	Campus Lives - Student Organizations
17aacpro	../images/17Aacpro.jpg	Department of Sloyd and Manual Training, 1906-07, part 1	Academic Freedom - Academic Programs Enlarge or Print part 1 of this Image (Requires Acrobat Reader ) Department of Sloyd and Manual Training 1906-07 catalog 0.3 1901-1907 v.16-21 Enlarge or Print part 2 of this Image	Academic Freedom - Academic Programs
17athlet	../images/17athlet.jpg	Normal Men's Tennis Team, El Escudo, 1914	Men's tennis was organized in 1904 to compete with local schools and in 1910 the Normal School won the Interscholastic Tennis Cup. For more information on Men's Tennis, please visit: http://thesundevils.fansonly.com/sports/m-tennis/asu-m-tennis-body.html Normal Men's Tennis Team El Escudo, pg. 106 1914 131.14 1914 V.4 Archives Normal Men's Tennis El Escudo, pg. 107 1914 131.14 1914 V.4 Archives	Campus Lives - Athletes
17casc	../images/17casc.jpg	Hazing, ca. 1937	Hazing 1937-38 ca. 1937 UP UPC ASUD F72 #1/neg	Campus Lives - Campus Scenes
17ccp	../images/17ccp.jpg	ASU Research Park, 1998	ASU Research Park 1998 Photographer: Tim Trumble Courtesy of Media Relations ASU Research Park, on 323 acres in southwest Tempe, was built to attract research and development firms that would conduct joint research with university departments, to interact with students, to consult with faculty and to provide employment. For more information on ASU Research Park, please visit:http://researchpark.asu.edu/ ASU Research Park 1998 Photographer: Tim Trumble Courtesy of Media Relations	Community, Collaboration and Partnership
17land	../images/17land.jpg	Industrial Arts Building, 1925	The Industrial Arts building, completed in 1914, is symbolic of the Tempe school expansion beyond the Normal School boundaries. The three story, 130' x 135' structure housed the Department of Manual Training, a program long anticipated by the Tempe citizens. It is now the Anthropology Building. Industrial Arts Building Sheet 1-Neg 28A-29 Ballard Scrapbook 1925 ACC #93-1077	Landmarks
17lead	../images/17lead.jpg	President Newburn, 1969-1971	Twelfth President Harry K. Newburn (Acting) 1969-1971 presenting Alumni Appreciation Award to Mrs. Kathryn K. Gammage. UP UPC ASUP Newburn, Harry K. Harry K. Newburn's administration provided a receptive atmosphere for those with varying degrees of opinions, attitudes and differences in regards to issues of academic freedom and student unrest. He ushered in a new sense of pride in the university's football team, which represented Arizona in the 1971 Peach Bowl in Atlanta, Georgia. Newburn believed that both academic and athletic achievements had a place at the university and strengthened the ties of understanding and friendship between the university and the people of Arizona.	Leadership
17research	../images/17research.jpg	Music Library Reference and Listening Station, 1994	Music Library Reference and Listening Station 1994 Courtesy of Instructional Services Academic Freedom - Research The music library opened in 1970 in the new Music Building and included all music materials in the Libraries' collection. A room 15 feet by 20 feet accommodated students with contemporary electronic equipment. Sixteen units in the listening rooms played tapes or records and eventually were equipped to play cassettes. Today there is group listening at 80 stations. The collection includes musical scores, videos, books and periodicals. For more information about the Music Library, please visit:http://www.asu.edu/lib/music/ Music Library Reference and Listening Station 1994 Courtesy of Instructional Services	Academic Freedom - Research
17stor	../images/17stor.jpg	Dunbar Club, 1939-40	Dunbar Social and Literary Club 1939-40 UE ASU Info-630 This was ASU's first social group for African-American students, organized in 1939. For more information about African-American organizations at ASU, please visit http://www.asu.edu/clubs/search.html .	Campus Lives - Student Organizations
18acpro	../images/18acpro.jpg	Domestic Science Department, 1910	Domestic Science Department 1910 UP UPC ASUD/B O42 #30 Academic Freedom - Academic Programs Home Economics stands for: "The ideal home life for today, unhampered by the tradition of the past." "The utilization of all resources of modern science to improve the home life." "The freedom of the home from the dominance of things and their due subordination to ideals." (1912-1913 catalog) Domestic Science Department 1910 UP UPC ASUD/B O42 #30	Academic Freedom - Academic Programs
18athlet	../images/18athlet.jpg	Sargis Sargsian wins Pac-10, January 18, 1995	Sargis Sargsian wins Pac-10 January 18, 1995, p.19 131.10 State Press Sargsian attended ASU and in the 1996 Olympics he represented Armenia.	Campus Lives - Athletes
18casc	../images/18casc.jpg	Snow day, January 21, 1937	Snow day January 21, 1937 UP UPC ASUB C357 1930s #7/neg.	Campus Lives - Campus Scenes
18ccp	../images/18ccp.jpg	Kids Computer Camp, ASU Downtown Center	Kids Computer Camp ASU Downtown Center UP UPC ASUP Lattie Coor For more information on ASU's Extended Campus programs, please visit: http://www.asu.edu/xed/prtnrs/index.html	Community, Collaboration and Partnership
18lead	../images/18lead.jpg	President Schwada, 1971-1981	Thirteenth President John W. Schwada 1971-1981 John W. Schwada at a Board of Regents meeting in Flagstaff. Front (L-R): James E. Dunseath, Governor Raul H. Castro, Rudy E. Campbell, Sidney S. Woods. Rear (L-R): Dr. William G. Payne, Dwight W. Patterson, President Schwada, Ralph M. Bilby, John F. Molloy. 1977 UP UPC ASUP R43 1970s #2 John W. Schwada was ASU's thirteenth president, serving from 1971 to 1981. He presided over one of the largest growth periods in university history, when enrollment climbed from 26,000 to 40,000. During his tenure, 25 buildings were added to the campus, including the University Activity Center (now known as the Wells Fargo Arena), Packard Stadium, and the Sun Devil Stadium addition. In addition, the College of Public Programs was established and ASU joined the Pac-10 Conference. President Schwada conferred more degrees in his decade as a president than had been awarded in the entire previous history of the university. He is remembered for expanding the scope of university services and resources to address the needs of both the Phoenix metropolitan area and the state of Arizona. Thirteenth President John W. Schwada 1971-1981 John W. Schwada at a Board of Regents meeting in Flagstaff. Front (L-R): James E. Dunseath, Governor Raul H. Castro, Rudy E. Campbell, Sidney S. Woods. Rear (L-R): Dr. William G. Payne, Dwight W. Patterson, President Schwada, Ralph M. Bilby, John F. Molloy. 1977 UP UPC ASUP R43 1970s #2	Leadership
18research	../images/18research.jpg	Arizona Republic article about Music Library, 1970	Academic Freedom - Research Music Library, Gift of Songs Edward Jardon Madden 1970 Arizona Republic UE ASU Info File 1251	Academic Freedom - Research
18stor	../images/18stor.jpg	Los Conquistadores, 1935/36	Los Conquistadores Members met at the Tempe Cafe. Los Conquistadores Scrapbook 1935/36 and 1945/46 130.9 C26 "We, the Spanish-speaking students of Arizona State College at Tempe, in order to develop a better understanding between ourselves and others; to gain greater social, cultural and intellectual values through our association with others; to interest others in a college education, especially those of our own nationality, do hereby organize this club. The name of this club shall be 'Los Conquistadores.' Said club shall exist on the campus of Arizona State College at Tempe." (Preamble, 1937). "Los Conquistadores" was founded on October 1, 1937. Dr. Irma Wilson, Spanish Department, served as the group's first adviser. Los Conquistadores remained an active and visible group on the campus of Arizona State University until 1967. For more information about Hispanic organizations at ASU, please visit http://www.asu.edu/clubs/search.html .	Campus Lives - Student Organizations
19acasc	../images/19acasc.jpg	Faculty Wives Club, 1938-39	Faculty Wives Club 1938-39 Faculty Wives Club Scrapbook ACC# 93-1080	Campus Lives - Campus Scenes
19acpro	../images/19acpro.jpg	Art Department, 1908	Art Department 1908 UP UPC ASUB O42 #27 Academic Freedom - Academic Programs Art Department "The object of this department is, first, to lead the student to a fuller appreciation of the beauties of the world about him; to train his perceptive faculties, strengthen his memory, judgment and imagination." (1903-04 catalog) The first Department of Art is listed in the catalog in 1903. Art Department 1908 UP UPC ASUB O42 #27	Academic Freedom - Academic Programs
19athlet	../images/19athlet.jpg	ASU Men's Tennis brief history and team results, 1998-99	ASU Men's Tennis brief history and team results ASU Media Guide, 1998-99 pg. 7 34.17.1i.M52 Archives	Campus Lives - Athletes
19casc	../images/19casc.jpg	Students on a camping trip, 1930s	Students on a camping trip 1930s UP UPC ASUG S882 1930s #25/neg	Campus Lives - Campus Scenes
19ccp	../images/19ccp.jpg	Art Museum exhibition travels to Venice Biennale, May 13, 1994	Art Museum exhibition travels to Venice Biennale May 13, 1994 pg. 5 0.5 Ar 47 Insight For more information on the ASU Art Museum, please visit:http://asuam.fa.asu.edu/	Community, Collaboration and Partnership
19land	../images/19land.jpg	Matthews Hall, 1925	Matthews Hall 1925 Sheet 1 Neg 41A-42 Ballard Scrapbook ACC #93-1077 In 1925, Matthews Hall girls' dormitory marked the far west side of campus, and sat on a paved Tyler Drive.	Landmarks
19lead	../images/19lead.jpg	President Nelson, 1981-1989	Fourteenth President J. Russell Nelson 1981-1989 Dedication of ASU West 1980s Courtesy of Media Relations J. Russell Nelson served as ASU's president from 1981 to 1989. He believed that the educational mission was the most important part of the university, and that everything else was subordinate to that, including athletics. Although his administration was marked by disharmony with the athletic department, he worked to make athletics a source of pride for the university. One of Nelson's goals was to make ASU a multi-campus institution. He met this goal with the establishment of ASU West in 1983, which brought education to western Maricopa County. Student enrollment also increased from 37,000 to 40,500 students under Nelson's tenure. Nelson brought a new focus to computer-assisted learning and research within the university, and provided computer literacy training for the community. In the Spring of 1988, ASU completed its most successful fund-raising campaign to date, surpassing its original $75 million goal. Research grants doubled during Nelson's tenure, positioning ASU to be recognized as a major research university.	Leadership
19research	../images/19research.jpg	Anthropology Department archaeological dig, Tempe, Arizona, 1970	Anthropology Department ASU Archaeologists Karin Halvorson (l.) and Susan Mueller (r.) dig while Patricia Brown studies charts, 10 miles north of Sun City along Agua Fria river. Archeology Program (ASU); Tempe, Arizona 1970 ASUD A562 #1	Academic Freedom - Research
19stor	../images/19stor.jpg	Los Conquistadores letter	Los Conquistadores Letter announcing the conference ADELANTE ARIZONA Los Conquistador Scrapbook 1935/36 and 1945/46 130.9 C26	Campus Lives - Student Organizations
20acpro	../images/20acpro.jpg	Principal Lynd, visiting with migrant farm workers, 1920	Academic Freedom - Academic Programs Principal Louise B. Lynd of Rural Training School, visiting with migrant farm workers, parents of the rural school students. 1920 UP UPC ASUD Lynd, Louise B.	Academic Freedom - Academic Programs
20athlet	../images/20athlet.jpg	Tempe Normal School Women's Tennis Inter-class game, 1910s	Tempe Normal School Women's Tennis Inter-class game 1910s UP UPC ASUA T468 #3	Campus Lives - Athletes
20casc	../images/20casc.jpg	Martha Krause, dining hall supervisor, 1940	Martha Krause, dining hall supervisor, arranges flowers for an outdoor event at the President's cottage. 1940 UP UPC ASUP Martha Krause Robert and Martha Krause managed the college dining hall from 1913 until their retirement in 1943. Krause Hall, built in 1920, accommodated 800 diners. It was razed in 1991. Martha Krause, dining hall supervisor, arranges flowers for an outdoor event at the President's cottage. 1940 UP UPC ASUP Martha Krause	Campus Lives - Campus Scenes
20lead	../images/20lead.jpg	President Peck, 1989-1990	President Richard Peck (Interim) 1989-1990 1989 Insight Article Following in the footsteps of J. Russell Nelson, interim president Peck continued to successfully manage the growth and development of a major university. During his short tenure as president, Peck led the university to an increased academic stature in the midst of a growing campus and rising enrollment.	Leadership
